seletor,modelo,n_features,accuracy,precision,f1,log_loss,fp_per_class,fn_per_class
LassoCV,QDA,15,0.9228533685601057,0.9311869705411812,0.9222519487363733,0.7239000480432538,"[60, 1400]","[1400, 60]"
LassoCV,GaussianNB,15,0.9205284015852048,0.9282143581817669,0.9199438002083518,1.977736845191305,"[105, 1399]","[1399, 105]"
LinearSVC_L1,GradientBoosting,15,0.9750594451783355,0.9754433894205786,0.9750400907082356,0.07359721208114085,"[97, 375]","[375, 97]"
LinearSVC_L1,RandomForest,15,0.9744782034346103,0.9750141470760071,0.9744537551921626,0.07172795612525805,"[78, 405]","[405, 78]"
LinearSVC_L1,DecisionTree,15,0.9743196829590489,0.9745725271497276,0.9743041625825434,0.1340308816887908,"[129, 357]","[357, 129]"
LinearSVC_L1,LDA,15,0.9236459709379128,0.9324122281374386,0.9230275656639161,0.376450732247864,"[37, 1408]","[1408, 37]"
LinearSVC_L1,QDA,15,0.9229590488771466,0.9314004918875015,0.9223524632195333,0.7226582166147019,"[55, 1403]","[1403, 55]"
LinearSVC_L1,GaussianNB,15,0.9204755614266843,0.9281727204632788,0.9198898217812914,2.201788685276833,"[105, 1400]","[1400, 105]"
LowVariance,GradientBoosting,12,0.9750594451783355,0.9754433894205786,0.9750400907082356,0.07360984440517557,"[97, 375]","[375, 97]"
LowVariance,RandomForest,12,0.9744253632760899,0.9749577905104485,0.974400962828963,0.07091914325912539,"[79, 405]","[405, 79]"
LowVariance,DecisionTree,12,0.9742668428005284,0.9745172887031412,0.9742513751336283,0.1340675076956896,"[130, 357]","[357, 130]"
LowVariance,LDA,12,0.9238573315719947,0.9325756168824612,0.9232436432040473,0.37635528002066065,"[37, 1404]","[1404, 37]"
LowVariance,QDA,12,0.9229590488771466,0.9314004918875015,0.9223524632195333,0.7226842584359288,"[55, 1403]","[1403, 55]"
LowVariance,GaussianNB,12,0.9204755614266843,0.9281727204632788,0.9198898217812914,2.5242058391764886,"[105, 1400]","[1400, 105]"
Pearson,DecisionTree,15,0.9679788639365918,0.9687283828560659,0.9679400618557904,0.10653698515418454,"[108, 498]","[498, 108]"
Pearson,GradientBoosting,15,0.9677146631439895,0.9685325547323321,0.9676732053220652,0.09925755221306377,"[102, 509]","[509, 102]"
Pearson,RandomForest,15,0.9676089828269485,0.968434849732652,0.967567110139083,0.0992378083779733,"[102, 511]","[511, 102]"
Pearson,LDA,15,0.9209511228533686,0.9300902642763974,0.9202848670700556,0.3693954160504237,"[46, 1450]","[1450, 46]"
Pearson,GaussianNB,15,0.9205284015852048,0.9282143581817669,0.9199438002083518,2.1875487753669365,"[105, 1399]","[1399, 105]"
Pearson,QDA,15,0.9197357992073977,0.9291575633785756,0.9190405758490052,0.6665365164725167,"[46, 1473]","[1473, 46]"
mRMR,GradientBoosting,15,0.9750066050198151,0.9753875818427458,0.9749872988039685,0.07362571858660232,"[98, 375]","[375, 98]"
mRMR,RandomForest,15,0.9744253632760899,0.9749443652764094,0.9744013550348287,0.07186155168474385,"[81, 403]","[403, 81]"
mRMR,DecisionTree,15,0.9743196829590489,0.9745725271497276,0.9743041625825434,0.13589516244636385,"[129, 357]","[357, 129]"
mRMR,LDA,15,0.9238573315719947,0.9325756168824612,0.9232436432040473,0.37665361689572185,"[37, 1404]","[1404, 37]"
mRMR,QDA,15,0.9230647291941876,0.9315353638090984,0.922457475688747,0.7751350183932535,"[53, 1403]","[1403, 53]"
mRMR,GaussianNB,15,0.9204755614266843,0.9281727204632788,0.9198898217812914,2.3958337402419976,"[105, 1400]","[1400, 105]"
